City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,taveta,-3.3963,37.6736,22.9,64,78,2.04,KE,1737489335
151,lihue,21.9789,-159.3672,21.77,83,100,2.57,US,1737489336
152,atafu village,-8.5421,-172.5159,27.41,81,65,6.01,TK,1737489337
153,old town,50.087,14.4202,-0.02,88,100,1.03,CZ,1737489338
154,constitucion,-35.3333,-72.4167,19.65,68,19,7.09,CL,1737489339
155,labrador city,52.9463,-66.9114,-28.79,58,75,10.73,CA,1737489342
156,paracale,14.2804,122.7881,23.89,91,100,6.55,PH,1737489343
157,bahia de kino,28.8333,-111.9333,18.65,27,94,6.72,MX,1737489344
158,porto seguro,-16.4497,-39.0647,29.29,70,40,5.14,BR,1737489345
159,san patricio,28.017,-97.5169,0.97,65,91,7.23,US,1737489347
160,codrington,-38.2667,141.9667,16.35,72,100,6.84,AU,1737489348
161,ebon,4.582,168.6964,26.91,82,99,7.46,MH,1737489349
162,korla,41.7597,86.1469,-6.97,82,53,0.84,CN,1737489350
163,roxas,11.5853,122.7511,25.49,91,100,5.24,PH,1737489351
164,boyolangu,-8.1181,111.8935,23.58,96,100,1.13,ID,1737489353
165,udachny,66.4167,112.4,-27.5,99,100,1.16,RU,1737489354
166,ciudad lazaro cardenas,17.9583,-102.2,27.88,47,5,4.08,MX,1737489355
167,dinghaicun,26.2847,119.7936,11.85,81,99,6.53,CN,1737489356
168,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,6.17,EC,1737489359
169,sakakah,29.9697,40.2064,8.76,39,0,3.56,SA,1737489360
170,raduzhny,62.0961,77.475,-15.63,96,100,6.11,RU,1737489361
171,hirara,24.8,125.2833,18.15,59,75,3.6,JP,1737489362
172,ramamangalam,9.9334,76.5,22.83,90,3,1.46,IN,1737489363
173,saldanha,-33.0117,17.9442,27.03,77,25,3.96,ZA,1737488978
174,strathalbyn,-35.2667,138.9,15.47,88,99,5.62,AU,1737489366
175,la ronge,55.1001,-105.2842,-4.88,79,100,2.57,CA,1737489367
176,akranes,64.3218,-22.0749,0.03,62,6,4.47,IS,1737489368
177,nikolayevsk-on-amure,53.1406,140.73,-21.49,98,73,1.73,RU,1737489369
178,hailun,47.45,126.9333,-23.3,100,45,2.0,CN,1737489370
179,kismayo,-0.3582,42.5454,24.89,86,100,5.88,SO,1737488911
180,geraldton,-28.7667,114.6,26.23,78,86,4.12,AU,1737489374
181,soria,41.6667,-2.6667,6.73,99,100,3.41,ES,1737489375
182,susuman,62.7833,148.1667,-44.87,100,88,0.09,RU,1737489376
183,hammerfest,70.6634,23.6821,-9.75,73,30,7.72,NO,1737488957
